ArtistID,Link
Q76734,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Poelzig.jpg
Q76712,http://commons.wikimedia.org/wiki/Special:FilePath/Max%20Wolf.jpg
Q77365,http://commons.wikimedia.org/wiki/Special:FilePath/Walter%20Ruttmann%20bij%20opname%20der%20Berlijn-Film%2C%201927.jpg
Q89568,http://commons.wikimedia.org/wiki/Special:FilePath/MJK61338%20Stefan%20Sagmeister%20%28Beyond%20Tellerrand%20M%C3%BCnchen%202018%29.jpg
Q74614,http://commons.wikimedia.org/wiki/Special:FilePath/Yva%20Hajek-Halke%20-%20Das%20Deutsche%20Lichtbild%201927.png
Q78981,http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Roller%20%281864%E2%80%931935%29%201927%20%C2%A9%20Georg%20Fayer%20%281892%E2%80%931950%29%20OeNB%2010452077.jpg
Q78646,http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Hrdlicka%20%28Austrian%20sculptor%29%202005%20cropped.jpg
Q90955,http://commons.wikimedia.org/wiki/Special:FilePath/2018-12-09%20SPD%20Europadelegiertenkonferenz%20Klaus%20Staeck%202860.jpg
Q92631,http://commons.wikimedia.org/wiki/Special:FilePath/Ray%20Tomlinson%20%28cropped%29.jpg
Q82840,http://commons.wikimedia.org/wiki/Special:FilePath/Alvar%20Aalto1.jpg
Q84312,http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20J.%20Neutra%20holding%20photograph%20of%20Beard%20House.jpg
Q95715,http://commons.wikimedia.org/wiki/Special:FilePath/Icon%20Design%20maggio%202017%20copertina%20Mondadori.jpg
Q95836,http://commons.wikimedia.org/wiki/Special:FilePath/Sieverding%2Ckatharina-in-Kunst-u-Kapital%20bukuhalle-bonn%20100317%203q.jpg
Q84287,http://commons.wikimedia.org/wiki/Special:FilePath/Otto%20Wagner%20%281841%E2%80%931918%29.jpg
Q70121,http://commons.wikimedia.org/wiki/Special:FilePath/Aenne%20Biermann.%20Self-Portrait%20with%20Silver%20Ball.%201931.png
Q70121,http://commons.wikimedia.org/wiki/Special:FilePath/Aenne%20biermann.jpg
Q70997,http://commons.wikimedia.org/wiki/Special:FilePath/Ralph-Baer.jpg
Q71242,http://commons.wikimedia.org/wiki/Special:FilePath/Erich%2081.jpg
Q71244,http://commons.wikimedia.org/wiki/Special:FilePath/Baldus%20Autoportrait.jpg
